"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"TID_GAME_MODE_19_DESC","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Секретный режим Brawl Stars. У каждой команды есть Король - боец с большим количеством здоровья. Если он погибает, команда противников одержит победу. Защити его!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Gizli Brawl Stars oyun modu. Her takımın bir kralı olur - canı çok olan savaşçı. Kralın ölürse, rakip takım kazanır. Onu koru!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!"
"TID_SPEC_SPOT_FROM_AIR","SPOT","الرصد","空中侦察","見獵心喜","LUFTAUFKLÄRUNG","CON ALTURA","BONGAUS","REPÉRAGE","זיהוי","KETEMU!","VEDETTA","スポット","발견","TAJAM MATA","SPOTTER","DOSTRZEŻ","DETECÇÃO INIMIGA","ЗОРКОСТЬ","สายตาคมกริบ","NOKTA","TINH MẮT"
"TID_SUPERCELL_ID_TITLE","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
"TID_SETTINGS_SC_ID","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
"TID_BUTTON_SCID","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
"TID_PARENTS_GUIDE_BUTTON","Follow us in Telegram","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Follow us in Telegram (EN)","Подпишись на нас в Telegram","Follow us in Telegram (EN)","Bizi Telegram’dan takip edin (İnglizce)","Follow us in Telegram (EN)"
"TID_PROTECT_KING_INTRO_TEXT","","","","","","","","","","","","","","","","","","","","",""
"TID_RANDOM_GAME_MODE","MYSTERY MODE","وضع اللغز","随机应变模式","神秘隨機戰模式","GEHEIMNISMODUS","MODO MISTERIO","MYSTEERITILA","MODE MYSTÈRE","מצב תעלומה","MODE MISTERI","MODALITÀ MISTERO","ミステリーモード","미스터리 모드","MOD MISTERI","MYSTERIEMODUS","TRYB TAJEMNICY","MODO MISTÉRIO","ЗАГАДОЧНЫЙ РЕЖИМ","โหมดปริศนา","SÜRPRİZ MOD","CHẾ ĐỘ BÍ ẨN"
"TID_RANDOM_GAME_MODE_3V3","3v3 + Modifiers!","3 ضد 3 + متغيرات","3对3+随机事件","3v3+隨機事件!","3v3 + Modifikatoren!","¡3c3 y modificadores!","3v3 + muokkaajia!","3c3 et modificateurs!","3 נ גד 3 + משני מצב!","3v3 + Modifikasi Laga!","3v3 + modificatori!","3対3 + 特別ルール!","3대3++추가 모드!","3 lwn 3 + Pengubah Suai!","3-tegen-3 + aanpassingen!","3 na 3 + modyfikatory!","3x3 + modificadores!","3 на 3 с модификаторами!","3v3 + ตัวดัดแปลง!","3'e 3 + Dış Etkenler!","3v3 + Yếu tố điều chỉnh!"
"TID_NT_SPEEDRUN_UNLOCK","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Получить всех персонажей</c>","<c7>Unlock all brawlers!</c>","<c7>Bütün savaşçıları aç!</c>","<c7>Unlock all brawlers!</c>"
"TID_NT_SPEEDRUN_UPGRADE","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Прокачать всех персонажей</c>","<c2>Upgrade all brawlers!</c>","<c2>Bütün karakterleri son seviyeye yükselt!</c>","<c2>Upgrade all brawlers!</c>"
"TID_NT_SPEEDRUN_SKINS","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Получить все скины</c>","<c6>Unlock all skins!</c>","<c6>Bütün kostümleri aç!</c>","<c6>Unlock all skins!</c>"
"TID_NT_SPEEDRUN_VANITY","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Получить все эмодзи и спреи</c>","<c3>Unlock all emotes & sprays!</c>","<c3>Bütün rozet ve spreyleri aç!</c>","<c3>Unlock all emotes & sprays!</c>"
"TID_NT_SPEEDRUN_RANDOM","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Забрать 10 старр дропов</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>10 tane Starr Drop aç</c>","<cf0a000>Take 10 starr drops</c>"
"TID_NT_SPEEDRUN_RANDOM_50","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Забрать 50 старр дропов</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>50 tane Starr Drop aç</c>","<cf0a0e0>Take 50 starr drops</c>"
"TID_LOGIN_BLOCKED_FAQ","","","","","","","","","","","","","","","","","","https://telegra.ph/Kak-ustanovit-Nulls-Brawl-na-iOS-04-23","","",""
"TID_EVENT_MODIFIER_267","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","БЕЗ ЯДА","NO POISON","ZEHİR GAZI YOK","NO POISON"
"TID_EVENT_MODIFIER_DESC_267","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Отключить яд, который постепенно заполняет карту (столкновение, нокаут). Общее время боя ограничено ~15 минутами.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes.","Yavaşça haritayı dolduran zehir gazını devre dışı bırakır (hesaplaşma, nakavt). Savaşlar ~15 dakika ile sınırlıdır.","Disable poison that slowly fills the map (showdown, knockout). The total battle time is limited to ~15 minutes."
"TID_EVENT_MODIFIER_269","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","INFINITE SUPER","БЕСКОНЕЧНЫЙ СУПЕР","INFINITE SUPER","SINIRSIZ SÜPER","INFINITY SUPER"
"TID_EVENT_MODIFIER_DESC_269","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Super is always charged up!","Супер всех персонажей всегда полностью заряжен!","Super is always charged up!","Süper her zaman şarjlıdır!","Super is always charged up!"
"TID_EVENT_MODIFIER_527","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>ПАРАМЕТРЫ ИГРЫ</c>","<c750013>BATTLE SETTINGS</c>","<c750013>SAVAŞ AYARLARI</c>","<c750013>BATTLE SETTINGS</c>"
"TID_EVENT_MODIFIER_DESC_527","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","В этой комнате могут применяться дополнительные параметры игры.","This game room can have additional parameters set.","Bu oyun odasında bazı ek parametreler ayarlı.","This game room can have additional parameters set."
"TID_EVENT_MODIFIER_516","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>ПАРАМЕТРЫ ИГРЫ</c>","<c750013>BATTLE SETTINGS</c>","<c750013>SAVAŞ AYARLARI</c>","<c750013>BATTLE SETTINGS</c>"
"TID_EVENT_MODIFIER_DESC_516","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","В этой комнате могут применяться дополнительные параметры игры.\n\n<c001e75>Все выбранные персонажи всегда видны создателю комнаты.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>","Bu oyun odasında bazı ek parametreler ayarlı.\n\n<c001e75>Seçilen savaşçılar oyun kurucusuna gözükür.</c>","This game room can have additional parameters set.\n\n<c001e75>All selected brawlers are always shown to the room owner.</c>"
"TID_EVENT_MODIFIER_523","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","ЧАТ В БОЮ","BATTLE CHAT","SAVAŞ SOHBETİ","BATTLE CHAT"
"TID_EVENT_MODIFIER_DESC_523","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Чат дружеской комнаты доступен даже в бою!","Team chat is available even in battle!","Takım sohbeti savaşların içinde kullanılabilir!","Team chat is available even in battle!"
"TID_NEWS_TAB_ESPORTS","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Параметры игры</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Savaş ayarları</c>","<cd4bdfc>NB: Battle settings</c>"
